iter	Logloss
0	0.6848509708
1	0.6773250544
2	0.6696119508
3	0.6627789265
4	0.6562910876
5	0.6490366235
6	0.6429236328
7	0.6361770468
8	0.6305166621
9	0.6250858289
10	0.6194135923
11	0.6135960092
12	0.6086305372
13	0.6037036799
14	0.5990254952
15	0.5941756907
16	0.5891504012
17	0.5845790578
18	0.5799016571
19	0.5762511221
20	0.5724864162
21	0.5685136295
22	0.5644328453
23	0.560471213
24	0.5568445147
25	0.553482001
26	0.5502272169
27	0.5465287598
28	0.5436638357
29	0.5414970833
30	0.5385430185
31	0.5368549804
32	0.5341973803
33	0.5312167262
34	0.5287767288
35	0.5263902875
36	0.5242290286
37	0.5222458689
38	0.5199112898
39	0.5177825247
40	0.5160955832
41	0.5142788139
42	0.5125303943
43	0.5106376495
44	0.5083051248
45	0.506546332
46	0.5051233613
47	0.5031425013
48	0.5016608281
49	0.4998026948
50	0.4980437559
51	0.4965211204
52	0.4952216945
53	0.4934141835
54	0.4919348627
55	0.4903789622
56	0.4887680592
57	0.487677124
58	0.4860418451
59	0.484540705
60	0.483476539
61	0.4820071337
62	0.4808458173
63	0.4796735655
64	0.4784965615
65	0.4769927628
66	0.475932426
67	0.4747535678
68	0.4737987118
69	0.4725621398
70	0.4713290866
71	0.4704501147
72	0.4691573087
73	0.4682128167
74	0.4673080105
75	0.4664757256
76	0.4658038364
77	0.4649980866
78	0.4641514138
79	0.4631155584
80	0.4619433078
81	0.4609928051
82	0.4602660768
83	0.4593375641
84	0.4585374479
85	0.4577693425
86	0.4567239035
87	0.455908251
88	0.4549421738
89	0.4540201861
90	0.4532723144
91	0.4522032189
92	0.4515907763
93	0.4510970005
94	0.4505245637
95	0.4499652105
96	0.4493632482
97	0.4484482901
98	0.4477927789
99	0.4473323913
100	0.4465658841
101	0.4456893019
102	0.4448944049
103	0.4444665455
104	0.443762244
105	0.443394267
106	0.4427002854
107	0.4421254253
108	0.4414987846
109	0.4409087324
110	0.4402517773
111	0.4400838406
112	0.4396159511
113	0.4389101438
114	0.4382502551
115	0.4375876292
116	0.4370887624
117	0.4365089891
118	0.4359002901
119	0.4353708059
120	0.4348716733
121	0.4343600005
122	0.4334788613
123	0.4329520113
124	0.4325143406
125	0.4320245549
126	0.431616618
127	0.4311393903
128	0.4308132004
129	0.4303546515
130	0.4301780738
131	0.4295649324
132	0.4293877356
133	0.4288927001
134	0.4285379363
135	0.4280346005
136	0.4276735348
137	0.4272277209
138	0.4268948127
139	0.4265298678
140	0.4262985234
141	0.4257872409
142	0.4253540563
143	0.4248907503
144	0.4244350595
145	0.4239098541
146	0.4236042765
147	0.423260184
148	0.422878401
149	0.4224641775
150	0.4221161795
151	0.4215351608
152	0.4209876226
153	0.420663711
154	0.4201834039
155	0.4199374522
156	0.4194595709
157	0.4189378961
158	0.4185253661
159	0.4182648618
160	0.4177989301
161	0.4174583319
162	0.4172646672
163	0.4169772232
164	0.4166444598
165	0.416266015
166	0.4160481744
167	0.4158047164
168	0.4155391483
169	0.41508809
170	0.4147382401
171	0.4145968752
172	0.4143013714
173	0.4140030147
174	0.4138163117
175	0.4134710452
176	0.4132751584
177	0.4129458894
178	0.4127536374
179	0.4125639447
180	0.4121002601
181	0.4119270595
182	0.4115800696
183	0.4113585497
184	0.4110481956
185	0.4108107147
186	0.4105871481
187	0.410325902
188	0.4101079705
189	0.409934885
190	0.4097671914
191	0.4094793211
192	0.4092716163
193	0.4091398547
194	0.4089796123
195	0.408731856
196	0.4084849441
197	0.4081918223
198	0.4078351631
199	0.40760363
200	0.4073791098
201	0.4070617667
202	0.406861646
203	0.4067970512
204	0.4063556199
205	0.4061219816
206	0.4057896623
207	0.4056711814
208	0.4054626096
209	0.4051530064
210	0.4048697364
211	0.4044598086
212	0.4042790531
213	0.4039182659
214	0.4037555792
215	0.4035154455
216	0.4032772278
217	0.4031591291
218	0.40298834
219	0.4027366496
220	0.4025768032
221	0.4021827308
222	0.4019920264
223	0.4016496761
224	0.4013919051
225	0.4012152146
226	0.4009936236
227	0.4007383846
228	0.4005433482
229	0.4002692519
230	0.399955742
231	0.3996576344
232	0.3994281075
233	0.3992855623
234	0.3990919336
235	0.3988810281
236	0.3987308645
237	0.3985440526
238	0.3982103698
239	0.3980991916
240	0.397791883
241	0.3975147119
242	0.3972309473
243	0.397037184
244	0.3967991671
245	0.3966602705
246	0.3964787185
247	0.3962863534
248	0.3961658314
249	0.3960355743
250	0.3959992378
251	0.3958497666
252	0.3955142641
253	0.3952891116
254	0.3951652724
255	0.3951353835
256	0.3948983786
257	0.3948245683
258	0.3946420242
259	0.3945023196
260	0.3943732866
261	0.3941412222
262	0.3939797086
263	0.3937230386
264	0.3935697212
265	0.3934188467
266	0.3933965648
267	0.3932176457
268	0.3930972667
269	0.3929474755
270	0.3928201976
271	0.3924417638
272	0.3923067299
273	0.3921262379
274	0.3919404673
275	0.3917233735
276	0.3916452386
277	0.3914993324
278	0.391364243
279	0.391089384
280	0.3908295522
281	0.3906311923
282	0.3905634221
283	0.3904297785
284	0.3902635195
285	0.3900838892
286	0.3899792122
287	0.3899038488
288	0.3897031561
289	0.3895459823
290	0.3893630128
291	0.389256063
292	0.389112355
293	0.3888933677
294	0.3886598093
295	0.3885297097
296	0.3885088291
297	0.3884394527
298	0.3882899033
299	0.3881750796
300	0.3879707846
301	0.3878835225
302	0.3877679127
303	0.3875560548
304	0.3873802179
305	0.387297024
306	0.3872003053
307	0.3869837651
308	0.3868951357
309	0.3866413829
310	0.3864237541
311	0.386362303
312	0.3862140367
313	0.386076542
314	0.3860230884
315	0.3859734213
316	0.385836816
317	0.3856299185
318	0.3854952076
319	0.3853858615
320	0.3852866754
321	0.3851722317
322	0.3850343229
323	0.3849823774
324	0.3848796167
325	0.3848269505
326	0.3846029393
327	0.3844494562
328	0.3844162868
329	0.3842823669
330	0.3841440984
331	0.3839544752
332	0.3839449169
333	0.3838078454
334	0.3837533469
335	0.3836635189
336	0.3835359153
337	0.3834383656
338	0.383384695
339	0.3832662049
340	0.3831714515
341	0.3830456947
342	0.3827430985
343	0.382640456
344	0.382414308
345	0.3823185875
346	0.3822050341
347	0.3821101469
348	0.3820170989
349	0.3819884609
350	0.3818983891
351	0.3818156771
352	0.3817585713
353	0.3816355806
354	0.3814721777
355	0.3813342858
356	0.3811086597
357	0.3808921949
358	0.3808007324
359	0.3807196063
360	0.3804513135
361	0.3803314324
362	0.3802329895
363	0.3802269434
364	0.3800532326
365	0.3799417005
366	0.3798327488
367	0.3797749078
368	0.3796484565
369	0.3795894194
370	0.3794788667
371	0.37924318
372	0.3789795281
373	0.3788013176
374	0.3786454257
375	0.3785948478
376	0.3784293504
377	0.3782642039
378	0.3781356525
379	0.3780594994
380	0.3779913606
381	0.3778699483
382	0.3777985305
383	0.3777342874
384	0.3775899876
385	0.3775110424
386	0.3773115976
387	0.3772122989
388	0.3769653845
389	0.3768877659
390	0.3768283158
391	0.3767677113
392	0.3766895995
393	0.3766322121
394	0.3765005279
395	0.3763734095
396	0.3761433043
397	0.3760535689
398	0.3760480659
399	0.3759641475
400	0.3758676318
401	0.3757072206
402	0.3755340921
403	0.3754228657
404	0.3753623952
405	0.3752364328
406	0.3751998974
407	0.3750938287
408	0.3750046637
409	0.3749198702
410	0.3748396999
411	0.3747634998
412	0.3746858747
413	0.3745883243
414	0.3744512232
415	0.374299983
416	0.3742017561
417	0.374104119
418	0.3739986708
419	0.373920093
420	0.3737462712
421	0.3736477197
422	0.3735275439
423	0.3734446295
424	0.3733833836
425	0.3733392849
426	0.3732339572
427	0.3731686727
428	0.3730610877
429	0.3730017799
430	0.3728808788
431	0.372749805
432	0.3725779509
433	0.372463114
434	0.3723975174
435	0.3723158423
436	0.372234648
437	0.3721609712
438	0.3720344757
439	0.3718761536
440	0.3716665212
441	0.3715237022
442	0.3715207821
443	0.3713904731
444	0.3713475813
445	0.3712237776
446	0.3712089896
447	0.3710751255
448	0.370975816
449	0.3709017319
450	0.3708128594
451	0.3707952694
452	0.3706848339
453	0.3705758004
454	0.3705091844
455	0.3703946988
456	0.3702957488
457	0.3701845984
458	0.3701376823
459	0.3700537594
460	0.3699534078
461	0.3698499351
462	0.3697770318
463	0.3697666354
464	0.3695286938
465	0.3694397882
466	0.3694234224
467	0.3692986473
468	0.3691665991
469	0.3690706371
470	0.3690065468
471	0.3689154113
472	0.368808036
473	0.3687136874
474	0.3685950239
475	0.3684429093
476	0.3682577234
477	0.3682362666
478	0.3681490646
479	0.3680581964
480	0.3678991403
481	0.3678596691
482	0.367654322
483	0.367568896
484	0.3674075528
485	0.3673370199
486	0.3672383106
487	0.3671618605
488	0.3670960657
489	0.3669936403
490	0.3669320016
491	0.3667835867
492	0.3667734909
493	0.3667084911
494	0.3666570157
495	0.3665951374
496	0.3664916283
497	0.3664499059
498	0.3663488194
499	0.3662928344
500	0.3661901435
501	0.3660296931
502	0.3659767865
503	0.3658594093
504	0.365777945
505	0.3656740053
506	0.3655156578
507	0.3654203282
508	0.3653143327
509	0.3652023892
510	0.3651892247
511	0.3650879148
512	0.3649070465
513	0.364733457
514	0.3646701683
515	0.3645305342
516	0.3644462104
517	0.3642987832
518	0.3641746884
519	0.3640982893
520	0.363888916
521	0.3636811965
522	0.3635283218
523	0.3634258243
524	0.3632882245
525	0.3632091171
526	0.3630528798
527	0.3629724118
528	0.3628851509
529	0.3626645698
530	0.3626149213
531	0.362545114
532	0.3624855765
533	0.3623580442
534	0.3622214911
535	0.362098016
536	0.3619123978
537	0.3616772021
538	0.3615625426
539	0.3614773043
540	0.3614188953
541	0.3613161041
542	0.361123446
543	0.3609878821
544	0.360793399
545	0.3607409051
546	0.3606838644
547	0.3606330883
548	0.3604668777
549	0.3603967183
550	0.3602835345
551	0.3602143576
552	0.3601508118
553	0.359981481
554	0.3599134316
555	0.3598054843
556	0.3597704842
557	0.359691994
558	0.3595844107
559	0.3595514455
560	0.3594783559
561	0.3593317086
562	0.3592116821
563	0.3591839058
564	0.3591339698
565	0.359052192
566	0.3589664796
567	0.3587543086
568	0.3586084497
569	0.3585083501
570	0.3583864648
571	0.3583045214
572	0.3581504
573	0.3580839543
574	0.358043623
575	0.3579364354
576	0.3578145079
577	0.3577057315
578	0.3576010471
579	0.357505605
580	0.3574633701
581	0.3574377429
582	0.3573640147
583	0.3572394401
584	0.3571846444
585	0.357152886
586	0.3570746204
587	0.3569810967
588	0.3568001866
589	0.3566332896
590	0.3565172524
591	0.3563818768
592	0.3562145839
593	0.3561458144
594	0.3560306413
595	0.3559559099
596	0.3558661027
597	0.3557976986
598	0.355688958
599	0.3556087907
600	0.3555432065
601	0.3554804533
602	0.3553977595
603	0.3552630172
604	0.3551390347
605	0.3549984682
606	0.3548814292
607	0.3547589074
608	0.3546835601
609	0.3546243942
610	0.3545667212
611	0.3545177738
612	0.3544598057
613	0.3543426496
614	0.3542909226
615	0.3542073694
616	0.3541081381
617	0.3540680681
618	0.3539670211
619	0.3538326421
620	0.3537248604
621	0.3536478676
622	0.3534889207
623	0.3533201636
624	0.3531646845
625	0.3531089796
626	0.3529577071
627	0.3528754469
628	0.3527537699
629	0.352676814
630	0.3526298976
631	0.3525589814
632	0.35249924
633	0.3523592654
634	0.3522153608
635	0.3521243083
636	0.351947404
637	0.3518627018
638	0.351782805
639	0.3517065686
640	0.3516114732
641	0.3515712224
642	0.3514735843
643	0.3513643797
644	0.3512029502
645	0.3510520772
646	0.3509574619
647	0.3508967044
648	0.3507717462
649	0.350627108
650	0.3505716404
651	0.3505002169
652	0.3504294936
653	0.3503755626
654	0.3503075412
655	0.3502495863
656	0.350183103
657	0.3501101536
658	0.3500959894
659	0.3499479443
660	0.3498248726
661	0.3497331013
662	0.349608244
663	0.3494322453
664	0.3493602483
665	0.3493286645
666	0.3491775213
667	0.349053662
668	0.3489811116
669	0.3488392843
670	0.3487571361
671	0.3487113563
672	0.3486157952
673	0.3485058731
674	0.3483869717
675	0.3482623734
676	0.3480764987
677	0.3479578583
678	0.3479437268
679	0.3478435769
680	0.3477747296
681	0.3476547199
682	0.3476316367
683	0.347480452
684	0.3474100714
685	0.3473413754
686	0.3472415398
687	0.3471619356
688	0.3470952203
689	0.3469801636
690	0.3468965265
691	0.3468208282
692	0.3467587402
693	0.3466820573
694	0.3464320922
695	0.3463437167
696	0.3462189491
697	0.3460758474
698	0.3458356135
699	0.3457672221
700	0.3456869585
701	0.3455755387
702	0.3454935554
703	0.3454077483
704	0.3453453772
705	0.3451850333
706	0.3450381887
707	0.3449360864
708	0.3447669643
709	0.3446797294
710	0.3446058526
711	0.3445381611
712	0.3443804993
713	0.3442757741
714	0.3441747075
715	0.3440463783
716	0.3439680291
717	0.3438903397
718	0.3438216003
719	0.3437608893
720	0.3436942512
721	0.3436370782
722	0.3435168425
723	0.343375474
724	0.3432329901
725	0.3432151019
726	0.3429851471
727	0.3429342006
728	0.342861171
729	0.3427719634
730	0.342550928
731	0.342447247
732	0.3422974035
733	0.3422577847
734	0.3420936202
735	0.3420347281
736	0.3419696046
737	0.3418933884
738	0.3416869556
739	0.3414886673
740	0.3413039244
741	0.3412598652
742	0.3412187297
743	0.341167658
744	0.3410678192
745	0.3409343579
746	0.3408427571
747	0.3407303552
748	0.340600206
749	0.3404742322
750	0.3403674575
751	0.3402876405
752	0.340181814
753	0.3401223314
754	0.3400802899
755	0.3399345683
756	0.3399053932
757	0.3397420948
758	0.3396298
759	0.3395808613
760	0.3394764139
761	0.3393931604
762	0.3393199396
763	0.339194444
764	0.3391155381
765	0.3389364299
766	0.3388039822
767	0.3387436086
768	0.3385541886
769	0.3384320045
770	0.3384127769
771	0.3382684015
772	0.3381467883
773	0.3380889431
774	0.3379831659
775	0.3378690647
776	0.3376909797
777	0.337566119
778	0.337421621
779	0.3374045684
780	0.3373496077
781	0.3372287229
782	0.3371355984
783	0.3369817488
784	0.3369615669
785	0.3369471002
786	0.3368223169
787	0.3367683147
788	0.3366927288
789	0.3365406059
790	0.3364224796
791	0.3363049613
792	0.3361699131
793	0.3360844838
794	0.3359632415
795	0.3358405908
796	0.3357613637
797	0.3356596465
798	0.3355608764
799	0.3355447338
800	0.335396107
801	0.3352197566
802	0.3351667036
803	0.3351511081
804	0.3350661037
805	0.3349485361
806	0.3348830385
807	0.3347653743
808	0.3346132427
809	0.3345457068
810	0.3343761038
811	0.3342454138
812	0.3341750902
813	0.3340883957
814	0.3339767236
815	0.3339053507
816	0.333791829
817	0.3337220403
818	0.3335890134
819	0.3334732968
820	0.3334272417
821	0.3333049137
822	0.3332561872
823	0.3331821974
824	0.3330698714
825	0.333001571
826	0.3328820383
827	0.3327415381
828	0.3326704026
829	0.3325913736
830	0.332437428
831	0.3323599742
832	0.332203219
833	0.3321082125
834	0.3320393346
835	0.3320189547
836	0.3319124089
837	0.3318560212
838	0.3317212758
839	0.331609117
840	0.3315474259
841	0.3314962131
842	0.3313921624
843	0.3313096848
844	0.3312188294
845	0.3311312076
846	0.3310941957
847	0.3309973517
848	0.330942368
849	0.3308965767
850	0.330780441
851	0.3307273704
852	0.3305958765
853	0.3305346344
854	0.3304032593
