iter	Passed	Remaining
0	3	7051
1	5	6103
2	7	5677
3	9	5490
4	11	5499
5	14	5626
6	17	5615
7	19	5583
8	22	5646
9	24	5607
10	26	5574
11	28	5519
12	31	5503
13	33	5489
14	36	5504
15	38	5516
16	41	5512
17	43	5500
18	45	5507
19	48	5496
20	50	5496
21	53	5499
22	55	5474
23	57	5445
24	60	5464
25	62	5461
26	64	5434
27	66	5418
28	68	5400
29	71	5393
30	73	5401
31	76	5391
32	78	5386
33	80	5392
34	83	5395
35	85	5389
36	87	5381
37	90	5380
38	92	5386
39	95	5387
40	97	5383
41	100	5380
42	102	5380
43	104	5378
44	107	5374
45	109	5370
46	111	5368
47	114	5369
48	117	5380
49	119	5380
50	122	5382
51	124	5388
52	127	5386
53	129	5390
54	131	5386
55	134	5387
56	136	5383
57	139	5382
58	141	5378
59	143	5372
60	146	5366
61	148	5365
62	150	5355
63	153	5348
64	155	5347
65	158	5351
66	160	5349
67	162	5341
68	165	5339
69	167	5336
70	169	5329
71	172	5328
72	174	5324
73	176	5322
74	179	5324
75	181	5318
76	183	5309
77	186	5303
78	188	5298
79	190	5287
80	192	5273
81	194	5264
82	196	5253
83	198	5248
84	201	5247
85	203	5244
86	206	5244
87	208	5238
88	210	5231
89	212	5224
90	215	5220
91	217	5217
92	219	5213
93	221	5208
94	224	5206
95	226	5203
96	228	5198
97	231	5193
98	233	5190
99	235	5191
100	238	5193
101	241	5198
102	243	5203
103	246	5207
104	249	5209
105	251	5207
106	253	5205
107	256	5204
108	258	5200
109	261	5201
110	263	5195
111	265	5193
112	268	5189
113	270	5186
114	273	5187
115	275	5184
116	277	5181
117	280	5180
118	282	5178
119	284	5175
120	287	5173
121	289	5170
122	292	5170
123	294	5169
124	296	5163
125	298	5155
126	301	5152
127	303	5148
128	305	5144
129	308	5142
130	310	5138
131	312	5137
132	315	5133
133	317	5130
134	319	5130
135	322	5128
136	324	5121
137	326	5116
138	328	5112
139	331	5107
140	333	5104
141	335	5101
142	337	5096
143	340	5093
144	342	5087
145	344	5081
146	346	5075
147	348	5072
148	351	5069
149	353	5066
150	355	5063
151	358	5062
152	360	5062
153	363	5060
154	366	5066
155	368	5063
156	370	5062
157	373	5059
158	375	5057
159	378	5059
160	381	5062
161	383	5063
162	386	5061
163	388	5061
164	391	5060
165	393	5061
166	396	5060
167	399	5064
168	401	5067
169	404	5067
170	407	5068
171	409	5068
172	411	5065
173	414	5060
174	416	5059
175	419	5061
176	422	5062
177	424	5061
178	427	5063
179	429	5060
180	431	5057
181	434	5053
182	436	5050
183	438	5048
184	441	5043
185	443	5042
186	446	5039
187	448	5037
188	451	5037
189	453	5035
190	455	5032
191	457	5028
192	460	5024
193	462	5022
194	465	5020
195	467	5018
196	469	5016
197	472	5014
198	474	5014
199	477	5009
200	479	5006
201	481	5001
202	483	4997
203	485	4992
204	487	4986
205	490	4981
206	492	4974
207	494	4969
208	496	4963
209	498	4958
210	500	4953
211	502	4948
212	504	4943
213	506	4937
214	508	4931
215	510	4926
216	512	4921
217	515	4919
218	517	4916
219	519	4912
220	521	4908
221	524	4906
222	526	4901
223	528	4897
224	530	4892
225	532	4887
226	534	4882
227	536	4877
228	538	4871
229	540	4866
